accuracy,balanced_accuracy,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,replicate,roc_auc,row,status,total_labels,train_pos_rate
0.9012,0.8299879871158518,0.0709452501464627,0.7813229624346492,0.5742810673090433,0.53315649867374,0.9210053859964094,0.7389705882352942,1,0.9384067417361918,baseline_random,ok,250,0.8912
0.9038,0.8548470667441124,0.07113346531238264,0.7931423195463478,0.6031058287593656,0.5394242803504381,0.9174147217235189,0.7922794117647058,2,0.9503303130610413,baseline_random,ok,250,0.8912
0.8986,0.7873769009399092,0.07221540743246468,0.7614862707828021,0.5270459981548046,0.5278195488721804,0.9295332136445242,0.6452205882352942,3,0.9133162325747175,baseline_random,ok,250,0.8912
0.8842,0.8204502851409864,0.08343069811031907,0.7570760719427394,0.5340511574450526,0.4791418355184744,0.9019299820466786,0.7389705882352942,4,0.9090770705723941,baseline_random,ok,250,0.8912
0.7476,0.747039682120604,0.1969490498780653,0.6161455858202354,0.3338553219141375,0.265359477124183,0.7477558348294434,0.7463235294117647,5,0.8244241901203928,baseline_random,ok,250,0.8912
0.895,0.8644342723624459,0.07974587335451304,0.7849254625393003,0.5962460352659595,0.5108077360637088,0.9035008976660682,0.8253676470588235,1,0.9507174728059987,baseline_random,ok,500,0.8912
0.92,0.8954054018375752,0.05896634570820698,0.8276515804350074,0.6730645966794347,0.5904522613065326,0.9268402154398564,0.8639705882352942,2,0.968514445163164,baseline_random,ok,500,0.8912
0.9174,0.8955605132537755,0.061158543687056796,0.823933919884903,0.6676029008340291,0.5805658056580566,0.9234739676840216,0.8676470588235294,3,0.9680280718660894,baseline_random,ok,500,0.8912
0.8702,0.8335753511458444,0.09065134566402715,0.746186441506534,0.5272266662598496,0.445369406867846,0.8803859964093357,0.7867647058823529,4,0.9234624168338791,baseline_random,ok,500,0.8912
0.9296,0.8475353786038653,0.050395173927027775,0.8283663598065221,0.6585297953508293,0.6558441558441559,0.952423698384201,0.7426470588235294,5,0.9632864478825641,baseline_random,ok,500,0.8912
0.9346,0.8922998732706727,0.04798545841942958,0.8493764877526502,0.7062219704055686,0.6561151079136691,0.9463644524236984,0.8382352941176471,1,0.9711936236006969,baseline_random,ok,750,0.8912
0.9436,0.9255910735030098,0.04106281094817574,0.8723092571984977,0.7549295309432402,0.6819444444444445,0.948608617594255,0.9025735294117647,2,0.9829851852096314,baseline_random,ok,750,0.8912
0.916,0.8907405085014257,0.06141374583822496,0.8206152997723352,0.6604515336812267,0.5765432098765432,0.9230251346499102,0.8584558823529411,3,0.9658631125250818,baseline_random,ok,750,0.8912
0.9036,0.8692592274791424,0.07021013990799536,0.797404082181647,0.616275487956494,0.5370813397129187,0.9131508078994613,0.8253676470588235,4,0.9572806246039708,baseline_random,ok,750,0.8912
0.95,0.9114297312282185,0.03598332892229729,0.8805959427838683,0.7649108818608876,0.7282608695652174,0.9607271095152603,0.8621323529411765,5,0.9834160731729855,baseline_random,ok,750,0.8912
0.8878,0.9128438853099587,0.07870529061704983,0.7901246973549502,0.6323485165053196,0.49186602870813395,0.880834829443447,0.9448529411764706,1,0.9711765035906643,baseline_random,ok,1000,0.8912
0.9194,0.9087862366670187,0.06043978028763694,0.8302996554367148,0.6832254744073849,0.5846338535414166,0.9223518850987432,0.8952205882352942,2,0.9731970773048897,baseline_random,ok,1000,0.8912
0.9422,0.927226343858908,0.04112784906789272,0.870278764202792,0.7522232495818121,0.6739427012278308,0.9463644524236984,0.9080882352941176,3,0.9842553661949519,baseline_random,ok,1000,0.8912
0.934,0.937150174252825,0.04656322680493553,0.8590548783925491,0.7388957549898881,0.6320987654320988,0.9331238779174147,0.9411764705882353,4,0.9858485584539023,baseline_random,ok,1000,0.8912
0.9378,0.9400890405533847,0.04411729048730602,0.8657449373106562,0.7502737301763283,0.6469104665825978,0.9371633752244165,0.9430147058823529,5,0.986811404319358,baseline_random,ok,1000,0.8912
