accuracy,balanced_accuracy,base_size,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,roc_auc,round_idx,row,seed_split,status,total_labels,train_pos_rate,wall_s
0.8626,0.79138669606083,0,0.09765081607204645,0.7227692183278359,0.47132504005154474,0.42099447513812155,0.8824057450628366,0.7003676470588235,0.8890276824374274,1,row1_uncertainty_disagreement,1,ok,250,0.8912,0.942763082915917
0.9406,0.9037352149118174,0,0.04400521416228029,0.8622392622926411,0.7312451224386872,0.6802919708029197,0.9508527827648114,0.8566176470588235,0.9792814876174887,2,row1_uncertainty_disagreement,1,ok,500,0.8912,0.7169598749605939
0.9746,0.9631560882880981,0,0.018091142713380907,0.9380289437038334,0.8782275507628285,0.8390243902439024,0.9777827648114902,0.9485294117647058,0.9961317027933255,3,row1_uncertainty_disagreement,1,ok,750,0.8912,1.0361164170317352
0.981,0.9740089370577675,0,0.013548490440397456,0.9531510828264198,0.9077669139226022,0.8735440931780366,0.9829443447037702,0.9650735294117647,0.9976725036962719,4,row1_uncertainty_disagreement,1,ok,1000,0.8912,0.8560724999988452
0.9912,0.9845730145738727,0,0.006610409815944344,0.9776349214030142,0.9554312783914138,0.9448398576512456,0.9930430879712747,0.9761029411764706,0.9993977056711374,5,row1_uncertainty_disagreement,1,ok,1250,0.8912,1.8172575830249116
0.9948,0.9906273101700285,0,0.0047731833803534105,0.9866999454493147,0.9734511086465226,0.9675090252707581,0.9959605026929982,0.9852941176470589,0.9997161791107826,6,row1_uncertainty_disagreement,1,ok,1500,0.8912,2.4367145830765367
0.9918,0.9921718238462351,0,0.005522167515519046,0.979403937906791,0.959339679159829,0.9358752166377816,0.9916965888689407,0.9926470588235294,0.9997318552645474,7,row1_uncertainty_disagreement,1,ok,1750,0.8912,2.5815530829131603
0.995,0.9875118808744323,0,0.004430471779082928,0.9871188187977447,0.9742381575312767,0.9761467889908257,0.9970825852782765,0.9779411764705882,0.9998217868835146,8,row1_uncertainty_disagreement,1,ok,2000,0.8912,2.9292777919908985
0.9968,0.9965908490864928,0,0.003548918803160055,0.9918283963227783,0.983730933464536,0.9748201438848921,0.9968581687612208,0.9963235294117647,0.9998778910127786,9,row1_uncertainty_disagreement,1,ok,2250,0.8912,4.272226708941162
0.996,0.9945281972753195,0,0.002972786541966506,0.9897854954034729,0.9796448847680076,0.9712230215827338,0.9964093357271095,0.9926470588235294,0.9999199691097265,10,row1_uncertainty_disagreement,1,ok,2500,0.8912,4.4508618749678135
0.9972,0.9960083562150175,0,0.002378290608142744,0.9928269751641188,0.9856871650936603,0.980072463768116,0.9975314183123878,0.9944852941176471,0.999936882854578,11,row1_uncertainty_disagreement,1,ok,2750,0.8912,5.227864708984271
0.996,0.9929143784982575,0,0.002700451001203864,0.9897528216630269,0.9795386918143631,0.9746376811594203,0.9968581687612208,0.9889705882352942,0.999898105000528,12,row1_uncertainty_disagreement,1,ok,3000,0.8912,4.632629540981725
0.9964,0.9923318856267822,0,0.0026311380043897684,0.9907479139630015,0.981504156427116,0.9799270072992701,0.9975314183123878,0.9871323529411765,0.9999170813971908,13,row1_uncertainty_disagreement,1,ok,3250,0.8912,5.3101027079392225
