label,family,run_id,tau,subgroup,count,verified_ok,surrogate_success,mean_l2
Adaptive gradient,adaptive_gradient,task34_adaptive_gradient_tau0.60,0.6,nearest_inward_movement,66,48,53,0.17611728184665762
Adaptive gradient,adaptive_gradient,task34_adaptive_gradient_tau0.60,0.6,nearest_splint_clearance,134,109,109,0.38313818847773184
Adaptive gradient,adaptive_gradient,task34_adaptive_gradient_tau0.75,0.75,nearest_inward_movement,66,54,51,0.1917641424086383
Adaptive gradient,adaptive_gradient,task34_adaptive_gradient_tau0.75,0.75,nearest_splint_clearance,134,111,107,0.4011178806029641
Adaptive gradient,adaptive_gradient,task34_adaptive_gradient_tau0.90,0.9,nearest_inward_movement,66,54,50,0.2152013270164948
Adaptive gradient,adaptive_gradient,task34_adaptive_gradient_tau0.90,0.9,nearest_splint_clearance,134,111,107,0.4275791385564486
Adaptive penalty lambda=0.10,adaptive_penalty,task34_adaptive_penalty_lam0_10_tau0.60,0.6,nearest_inward_movement,66,49,54,0.17674282795857488
Adaptive penalty lambda=0.10,adaptive_penalty,task34_adaptive_penalty_lam0_10_tau0.60,0.6,nearest_splint_clearance,134,109,109,0.3800520373732562
Adaptive penalty lambda=0.10,adaptive_penalty,task34_adaptive_penalty_lam0_10_tau0.75,0.75,nearest_inward_movement,66,54,51,0.19177364819528953
Adaptive penalty lambda=0.10,adaptive_penalty,task34_adaptive_penalty_lam0_10_tau0.75,0.75,nearest_splint_clearance,134,111,107,0.3980231920101076
Adaptive penalty lambda=0.10,adaptive_penalty,task34_adaptive_penalty_lam0_10_tau0.90,0.9,nearest_inward_movement,66,54,50,0.2152054588488783
Adaptive penalty lambda=0.10,adaptive_penalty,task34_adaptive_penalty_lam0_10_tau0.90,0.9,nearest_splint_clearance,134,111,107,0.4244502621369517
Adaptive penalty lambda=0.05,adaptive_penalty_sweep,task34_adaptive_penalty_lam0_05_tau0.75,0.75,nearest_inward_movement,66,54,51,0.19169938119667987
Adaptive penalty lambda=0.05,adaptive_penalty_sweep,task34_adaptive_penalty_lam0_05_tau0.75,0.75,nearest_splint_clearance,134,111,107,0.4002410543734331
