active_coordinates,boring_radius_change_score,cleanup_rounds,control_rounds,distance,dominant_pair_final,dominant_pair_start,final_bracket__main_pin,final_bracket__splint,final_main_pin__splint,final_overlap_norm,finish_line_alpha,finish_line_candidates,finish_line_converted,finish_line_path_reason,finish_line_steps,method,mlp_stop_reason,model_kind,overlap_after_mlp,overlap_before_finish_line,pct_overlap_reduction,polish_rounds,random_k,reduced_gradient_evals,reduced_polish_rounds,reduced_selected_axes,reduced_signed_candidates,reduced_top_k,sample_id,start_bracket__main_pin,start_bracket__splint,start_dominant_pair,start_magnitude_bin,start_main_pin__splint,start_overlap_norm,steps,strict_category,success,tau_bin,tau_vol,verifier_calls,wall_time_s
3,0.0,,6,0.07483313977718353,main_pin__splint,bracket__splint,0.0,0.0,0.004944749693220603,0.004944749693220603,,,,,,axis_direct__none,,none,,,72.62733719092664,,,,,,,,t25h2_001111,0.0,0.011553303599631063,bracket__splint,large,0.00651125127290966,0.018064554872540724,6,splint_head_wall_candidate,False,,0.0,157,6.284222126999964
2,0.11999996011207051,,6,0.08485278487205505,bracket__main_pin,bracket__main_pin,0.005134395339466783,0.0,0.0,0.005134395339466783,,,,,,axis_direct__none,,none,,,72.62638612033308,,,,,,,,t25h2_004782,0.018756731800329093,0.0,bracket__main_pin,large,0.0,0.018756731800329093,6,pin_head_or_shaft_wall_candidate,False,,0.0,151,3.1029742940000915
2,0.12000001290074491,,6,0.10198041796684265,main_pin__splint,main_pin__splint,0.0,1.1511707743872857e-05,0.014615666714658382,0.014627178422402257,,,,,,axis_direct__none,,none,,,26.652797388787803,,,,,,,,t25h2_001389,0.0,3.123663160822766e-05,main_pin__splint,large,0.01991114412957199,0.01994238076118022,6,pin_splint_cross_overlap,False,,0.0,163,10.695740797999974
3,0.07999995426571782,,6,0.07483310252428055,main_pin__splint,bracket__splint,0.0,0.0,0.0005621809963681837,0.0005621809963681837,,,,,,axis_direct__none,,none,,,95.95009625638205,,,,,,,,t25h2_000581,0.0,0.009888628382920154,bracket__splint,large,0.0039927137910537105,0.013881342173973864,6,bracket_splint_other,False,,0.0,160,5.3912818990000915
1,0.0,,1,0.019999997690320015,clean,clean,0.0,0.0,0.0,0.0,,,,,,axis_direct__none,,none,,,100.0,,,,,,,,t25h2_001097,0.0,4.999056372989679e-05,clean,tiny,0.0,4.999056372989679e-05,1,other_overlap,True,,0.0,28,2.46902921100002
3,0.05999997380390134,,6,0.07483312487602234,main_pin__splint,bracket__splint,0.0,0.00014707257635948107,0.005639333234284632,0.005786405810644114,,,,,,axis_direct__none,,none,,,61.5602846692403,,,,,,,,t25h2_004522,0.0,0.007852043574777584,bracket__splint,large,0.007201152737562941,0.015053196312340525,6,splint_head_wall_candidate,False,,0.0,160,5.095251006999888
2,0.12000000981406282,,6,0.10198041796684265,clean,bracket__main_pin,0.0,0.0,0.0,0.0,,,,,,axis_direct__none,,none,,,100.0,,,,,,,,t25h2_004088,0.018371092015740415,0.0,bracket__main_pin,large,0.0,0.018371092015740415,6,pin_head_or_shaft_wall_candidate,True,,0.0,163,3.822087732
3,0.04000001155501966,,6,0.06928201764822006,main_pin__splint,main_pin__splint,0.0,0.0,0.014914837221133868,0.014914837221133868,,,,,,axis_direct__none,,none,,,24.915854725321633,,,,,,,,t25h2_000460,0.0,0.0,main_pin__splint,large,0.019864163288496273,0.019864163288496273,6,pin_splint_cross_overlap,False,,0.0,159,7.018100665999896
3,0.07999997247865265,,6,0.06928201019763947,clean,bracket__splint,0.0,0.0,0.0,0.0,,,,,,axis_direct__none,,none,,,100.0,,,,,,,,t25h2_002648,0.0,0.005164940364408664,bracket__splint,large,0.0036170918922984576,0.008782032256707121,6,bracket_splint_other,True,,0.0,153,7.380995331999998
1,0.0,,1,0.019999997690320015,clean,clean,0.0,0.0,0.0,0.0,,,,,,axis_direct__none,,none,,,100.0,,,,,,,,t25h2_003359,0.0,4.8786344647385335e-05,clean,tiny,0.0,4.8786344647385335e-05,1,other_overlap,True,,0.0,28,3.080972084999985
