acquisition_events_mean,acquisition_events_std,bin_accuracy_mean,bin_accuracy_std,bin_auc_mean,bin_auc_std,bin_balanced_accuracy_mean,bin_balanced_accuracy_std,bin_f1_mean,bin_f1_std,bin_positive_rate_true_mean,bin_positive_rate_true_std,bin_precision_mean,bin_precision_std,bin_recall_mean,bin_recall_std,budget,mae_bin_clean_or_below_threshold_mean,mae_bin_clean_or_below_threshold_std,mae_bin_large_mean,mae_bin_large_std,mae_bin_moderate_mean,mae_bin_moderate_std,mae_bin_small_mean,mae_bin_small_std,mae_bin_tiny_mean,mae_bin_tiny_std,mae_dominant_bracket__main_pin_mean,mae_dominant_bracket__main_pin_std,mae_dominant_bracket__splint_mean,mae_dominant_bracket__splint_std,mae_dominant_clean_mean,mae_dominant_clean_std,mae_dominant_main_pin__splint_mean,mae_dominant_main_pin__splint_std,mae_log_mean,mae_log_std,mae_norm_mean,mae_norm_std,median_ae_norm_mean,median_ae_norm_std,n_bin_clean_or_below_threshold_mean,n_bin_clean_or_below_threshold_std,n_bin_large_mean,n_bin_large_std,n_bin_moderate_mean,n_bin_moderate_std,n_bin_small_mean,n_bin_small_std,n_bin_tiny_mean,n_bin_tiny_std,n_dominant_bracket__main_pin_mean,n_dominant_bracket__main_pin_std,n_dominant_bracket__splint_mean,n_dominant_bracket__splint_std,n_dominant_clean_mean,n_dominant_clean_std,n_dominant_main_pin__splint_mean,n_dominant_main_pin__splint_std,n_mean,n_seeds,n_std,near_threshold_mae_norm_mean,near_threshold_mae_norm_std,pearson_norm_mean,pearson_norm_std,rmse_log_mean,rmse_log_std,rmse_norm_mean,rmse_norm_std,series,spearman_norm_mean,spearman_norm_std,strategy,train_frac_clean_or_below_threshold_mean,train_frac_clean_or_below_threshold_std,train_frac_large_mean,train_frac_large_std,train_frac_moderate_mean,train_frac_moderate_std,train_frac_small_mean,train_frac_small_std,train_frac_tiny_mean,train_frac_tiny_std,train_overlap_positive_rate_mean,train_overlap_positive_rate_std
32.0,0.0,0.9113333333333333,0.006553031529164348,0.9699414111799287,0.005160058114327394,0.9128053371087855,0.0064244971163088345,0.9103618737185343,0.006958383835836713,0.5174,0.0,0.9540766178971228,0.003172804007380512,0.8705063780440665,0.010124314537076748,10000,2.3059241160897456e-05,2.693296205949505e-06,0.0030203094758227723,0.00020797034828444214,0.0008426568734116189,3.2157836204779096e-05,0.0003286126274555513,2.6428111751427104e-05,0.00013724661004875177,1.2586784108021742e-05,0.001779255590390676,0.000169886362570802,0.0008478964165323483,1.2934743820456124e-05,2.3059241160897456e-05,2.693296205949505e-06,0.0013840503491611871,8.458070169837381e-05,0.3846049423505782,0.017713663664919787,0.0007371298941037673,3.119712723616643e-05,7.46655756150479e-05,2.2601860241742432e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010861257737128953,1.1341225722199834e-05,0.9426099782761552,0.008540417592747231,0.6945387154379964,0.03999502894684876,0.0020353659472344544,0.0002184951914757927,active_base10000,0.8529756656390265,0.008390146672394922,binary_entropy,0.48133333333333334,0.004034297405441926,0.17703333333333335,0.0036917325050562456,0.1898333333333333,0.0034682688605252136,0.11599999999999999,0.002760434748368456,0.0358,0.0008524474568362946,0.5186666666666667,0.00403429740544195
32.0,0.0,0.92,0.005729456053297411,0.9706596409849518,0.007524810241226433,0.921069051464085,0.005935714955226087,0.9201361478557263,0.005291680086809534,0.5174,0.0,0.952067997558253,0.011598479195038586,0.8903491818064682,0.002451526554624467,12500,2.6437456972827127e-05,6.411439625102483e-06,0.0045605381966588735,0.000438861016056159,0.0008455960077061995,6.104095822355022e-05,0.00032902995278687625,1.9788506464323592e-05,0.0001637108344729233,2.4150856645289617e-05,0.002442251807839158,0.00039637804218654426,0.0008027398453851055,2.6909389006490576e-05,2.6437456972827127e-05,6.411439625102483e-06,0.001971191157459649,0.0001301620690057507,0.3747717239500988,0.024656929588308573,0.0010073887078050315,9.10607232499704e-05,7.615986517824543e-05,6.2921532581947025e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.625198040049992e-05,8.505218793337984e-06,0.9140299158093653,0.011091987508759756,0.6639081171618127,0.04387752822229808,0.0035244261899782456,0.0002905758343411933,active_base10000,0.8492527885301114,0.0124448549939523,binary_entropy,0.48346666666666666,0.005140099436997525,0.14343999999999998,0.0030658549650410187,0.18698666666666666,0.00460276245555017,0.13717333333333334,0.0021568701604150636,0.04893333333333333,0.000606923022759521,0.5165333333333334,0.005140099436997528
32.0,0.0,0.9234,0.0072129513145914505,0.9724114424866422,0.006020256085433254,0.9246566762211709,0.00725904941320751,0.9231043908215387,0.007157414438193719,0.5174,0.0,0.9604831828135239,0.009041560589414993,0.8885452905553408,0.006637931644061972,15000,2.233293938157291e-05,7.730157372368038e-06,0.005175344678497837,0.001322013896128329,0.0009386091439029867,0.00011965840991392577,0.00035559688256427786,8.43949840149925e-05,0.0001842551653024987,5.152359071833167e-05,0.0022002957579363488,0.00020373376914729126,0.0008344694905689514,4.0307797477866064e-05,2.233293938157291e-05,7.730157372368038e-06,0.0024439118222674486,0.0007576426780768363,0.3763252813287699,0.05354823972858633,0.0011333629624480982,0.00026706697925724636,7.616808276604085e-05,1.9779463712984445e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.455380064155295e-05,1.6144424915605187e-05,0.8782603747511416,0.04771838779614267,0.6570757706898284,0.0705155496771596,0.004737584056321705,0.002061923967117387,active_base10000,0.8514093093523721,0.011768470790149704,binary_entropy,0.4874222222222222,0.0036556737569542275,0.1234,0.0022231109334044127,0.18637777777777775,0.0021924674638970016,0.14693333333333333,0.0021929178937864684,0.05586666666666667,0.000949073622402784,0.5125777777777778,0.003655673756954249
32.0,0.0,0.8927333333333333,0.0036012343562851815,0.9556196936738267,0.0022906464674668277,0.8937251902877795,0.0038381449260162888,0.8930290712370773,0.0029197163603404837,0.5174,0.0,0.9227960273776308,0.009952506069586005,0.8652235536657646,0.004599038344949068,3000,4.251022516136299e-05,6.6477239748385015e-06,0.004089720028516624,0.0008373453323669128,0.0010480656400549185,0.0001079337205573781,0.0004072357493319684,2.437252441348089e-05,0.00020984287382905234,2.8681308182403745e-05,0.0022136355830522803,0.00041089687080331217,0.0008574832280863028,1.9003126241929698e-05,4.251022516136299e-05,6.6477239748385015e-06,0.0019435415419357105,0.00037864733558206807,0.4721967338286979,0.026570926117499758,0.0009824910314249402,0.00016088987522605517,0.00010483173021687738,1.6996672683188843e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00014629033358738011,1.0913321781536189e-05,0.899016570018444,0.033419284834599834,0.8292651680635889,0.023967985176204326,0.003198130717255394,0.0009633770806328653,active_base3000,0.8292456250098249,0.0020215736340281334,binary_entropy,0.4814444444444444,0.005717635702341609,0.17966666666666667,0.0019051586888313694,0.18355555555555556,0.0034029761846919,0.11855555555555557,0.007390350732584841,0.03677777777777778,0.003937787810370967,0.5185555555555555,0.005717635702341563
32.0,0.0,0.9131999999999999,0.006864400920692221,0.9623400723211839,0.0057235777409251004,0.9145952914817962,0.006883956508602598,0.9124717709293307,0.00698303149746564,0.5174,0.0,0.9540344090455752,0.010736408620362967,0.8745007086715629,0.010179916101071374,5000,2.698070651491839e-05,6.811634704615753e-06,0.005171698946911739,0.0006810527593778756,0.0010153452920349084,0.00010202297921482752,0.000373172640851142,6.114234328159216e-06,0.00017637568199513508,1.3952445799174807e-05,0.002243136149591578,0.0003467553588961507,0.0008657537439076506,1.158375279363745e-05,2.698070651491839e-05,6.811634704615753e-06,0.0024690485066442016,0.0002749968640812334,0.41024776657515033,0.0031996639250375515,0.001151166470063936,0.0001306383141034015,8.151443927317814e-05,5.406512147441555e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010947586857362628,9.330651125637439e-06,0.8680089310583029,0.03338381559192137,0.7393983864563181,0.02517774578087496,0.004701851005841153,0.0007100644548214797,active_base3000,0.8450731087149244,0.011435389237725576,binary_entropy,0.492,0.0016970562748477365,0.1146,0.00269814751264641,0.17966666666666664,0.0042468288823021266,0.1544,0.005062278801751892,0.05933333333333333,0.0006599663291074429,0.508,0.0016970562748476843
32.0,0.0,0.9284,0.00506227880175191,0.9684594564735011,0.0036326637514985213,0.929683644080327,0.0050718556873605115,0.9280727393951818,0.0051008171226751674,0.5174,0.0,0.9662932695769711,0.00689235328983151,0.8927973199329983,0.006470753526344417,7500,1.594785705587644e-05,4.747342623941342e-06,0.005480959430710777,0.0007935385171015954,0.0010006407606888233,7.984307539634645e-05,0.0003057896650919771,4.304670780479508e-05,0.0001450873794661623,3.4518781603537376e-05,0.002822038953441582,0.00039139741824639784,0.0008580705687045798,4.7129771904087966e-05,1.594785705587644e-05,4.747342623941342e-06,0.002385559769238422,0.0006227380104992938,0.3651907964437455,0.036306301484075085,0.0011874383184861358,0.0001603252153270542,6.892633912987851e-05,1.2461623203305264e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,8.52701611856446e-05,8.742398461441021e-06,0.8573337415968894,0.019769155615060135,0.6587673159662146,0.03909275217756517,0.004696004049793098,0.0012049843003459127,active_base3000,0.857071780426871,0.014586659157748798,binary_entropy,0.4932888888888889,0.0033981839739760603,0.09071111111111112,0.0009130061592966292,0.1822222222222222,0.0003823255674241198,0.16817777777777776,0.002868647033440874,0.06559999999999999,0.0020396078054371143,0.5067111111111111,0.003398183973976018
32.0,0.0,0.9334000000000001,0.0018832595855767112,0.9731492426588294,0.0017326570596085007,0.9344783306375352,0.0018961136607550616,0.9335020885705804,0.0018727378492816424,0.5174,0.0,0.9655858221669567,0.0031095708234474832,0.9034918180646824,0.0027211328542639827,10000,1.416143495196441e-05,6.794589258768114e-07,0.007064434326572915,0.0008924465020054632,0.0009993193564029692,9.340120447020083e-05,0.0003005323501536271,1.3698917331077485e-05,0.00014062483492135991,1.4050994368419901e-05,0.0026484319235846165,0.0006457685143622019,0.0008096676514260334,3.3288354126790924e-05,1.416143495196441e-05,6.794589258768114e-07,0.003295002974559805,0.00028948898298236815,0.36465033453026824,0.019806149370459474,0.0014601068488086745,0.00016789468919491284,6.908502473379485e-05,9.394813164808188e-07,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,7.836968563227224e-05,1.7717807802967926e-06,0.8169809463408101,0.024044502824885843,0.6313458039615581,0.02215628111280817,0.006694698021772634,0.0008799996386315534,active_base3000,0.877205100080204,0.005490342474451331,binary_entropy,0.4855666666666667,0.009365658308712499,0.08360000000000001,0.007671158104658428,0.19140000000000001,0.0026919633479426676,0.17096666666666668,0.002013840995599097,0.06846666666666666,0.0002624669291337281,0.5144333333333333,0.009365658308712523
32.0,0.0,0.9358666666666667,0.002362672686222581,0.9732042425992908,0.008119005193737773,0.9370107041097717,0.002206666537681287,0.9358371491456473,0.002651878477267932,0.5174,0.0,0.9698956135117728,0.0027808978993348523,0.904136064940085,0.006979308111815917,12500,1.3764433062078345e-05,1.1123674529257177e-06,0.007365947270467635,0.0013868565969691242,0.000979232744092135,0.00015325045857884337,0.0003005038249013411,3.5830437272458105e-05,0.0001597000721613021,5.991846471594409e-06,0.0024825507714063455,0.0003112780917747791,0.0008160525322014187,6.268621276207966e-06,1.3764433062078345e-05,1.1123674529257177e-06,0.0035047409145764364,0.0007232781614368335,0.35129540031368683,0.029217629568248686,0.0015091246606509451,0.00027246419980182676,6.643088329383318e-05,4.078801105269579e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,7.445829233679709e-05,5.288261014625183e-06,0.8261618481862726,0.04446736009631182,0.6187114458316861,0.042222323517285845,0.007078357843949449,0.0014210369789001008,active_base3000,0.8870591520263659,0.004757554895571724,binary_entropy,0.4834666666666667,0.011134347259219503,0.07554666666666666,0.006070284635464429,0.19440000000000002,0.004728805345962134,0.17546666666666666,0.0008499934640271583,0.07112,0.0013902517757586226,0.5165333333333333,0.011134347259219503
32.0,0.0,0.9358,0.0021416504538945267,0.9724804861012215,0.005035170276196635,0.9370810025773612,0.0020559895553906612,0.9355229933190295,0.002325028595961156,0.5174,0.0,0.9736716223604276,0.0019391413440942766,0.9002705836876691,0.004919954411039027,15000,1.2132804923657407e-05,2.7075009125371894e-06,0.007194153374377027,0.00016060313502249725,0.0010559041325084596,3.0422019884400686e-05,0.0003130098863492592,1.0325141707603385e-05,0.00015340254392823583,1.6802528939759877e-05,0.002512822712626909,0.0007181471358676943,0.0008355417324020902,2.633645936057272e-05,1.2132804923657407e-05,2.7075009125371894e-06,0.0034462135276186923,0.00033718331350353716,0.37443388255014504,0.021769537948089564,0.0014941722473818923,2.8564567835597786e-05,6.430289310325558e-05,2.835630679883565e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,7.910445092165575e-05,5.644783013455235e-06,0.8051919056656246,0.01633275995219237,0.6414453875410656,0.018030821559204838,0.006854094994800136,0.0005154118905768573,active_base3000,0.8711434607017382,0.014836883825634167,binary_entropy,0.5095333333333333,0.004218829045898732,0.06555555555555555,0.004416243865157722,0.18457777777777776,0.0030450121125263348,0.16893333333333335,0.001341088557299076,0.0714,0.0010873004286866778,0.49046666666666666,0.004218829045898687
32.0,0.0,0.9028666666666666,0.005706915882408694,0.9634776366237235,0.005128338471416057,0.9040194704061072,0.005607427909859504,0.9026683703695907,0.006217706635688665,0.5174,0.0,0.9371810078097328,0.01113462602369592,0.870892926169308,0.01467865291538269,5000,3.5291287175670306e-05,6.871568349297522e-06,0.003797149942576138,0.0005715117981798497,0.0009504281919664306,3.1786242564236794e-05,0.00038187124060850094,3.058005589430716e-05,0.0001880289844303041,2.431968122354982e-05,0.0019636696091931407,0.00011215452420579411,0.0008409517192387129,4.8398404800404446e-05,3.5291287175670306e-05,6.871568349297522e-06,0.0018162014723385998,0.0002974099989127479,0.43461281659333406,0.020257987030786285,0.0009061629106845229,0.00010974914311076782,9.136109414005962e-05,7.271303331139233e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00012788943111612837,1.3314759207951347e-05,0.9191369602252716,0.011554260629874262,0.7654354572464744,0.03578634051952762,0.00291024032835727,0.0006139195856478485,active_base5000,0.841391726487669,0.00665446385675663,binary_entropy,0.48360000000000003,0.006659329295557224,0.17733333333333334,0.0033038697848970272,0.18466666666666667,0.0003771236166328231,0.11873333333333334,0.0040835714216302796,0.035666666666666666,0.0016679994670929068,0.5164,0.006659329295557198
32.0,0.0,0.9190666666666667,0.005084180257316684,0.9701273964154883,0.0012082401042727323,0.9203157658717679,0.004989474034703311,0.9187250679960739,0.0054049869974016835,0.5174,0.0,0.9560799889745457,0.010740824457604638,0.8844221105527638,0.013267106534001151,7500,2.3109901798159952e-05,5.24130415395706e-06,0.0050476041870583755,0.0004995333612295651,0.0009614095569898881,8.462273535740613e-05,0.000337200642335397,4.330159235244938e-05,0.00016718658588556708,2.000012936301569e-05,0.0026065717790741006,0.0007559023548097597,0.0008092083370443283,6.61397773480722e-05,2.3109901798159952e-05,5.24130415395706e-06,0.0022370951463821006,0.00027244756924020314,0.3805419317040653,0.03112112526833633,0.0011130109866152869,8.945915675948617e-05,7.365244476886801e-05,1.0463402314780251e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.79942848035359e-05,9.57981981528997e-06,0.875981384526113,0.0030931487620010356,0.6899082304292875,0.031151085681788575,0.004164973208271618,0.0004353470186806073,active_base5000,0.8493716333668653,0.00489366308912583,binary_entropy,0.4912888888888889,0.005986981761896716,0.12297777777777778,0.0012139111363331247,0.17946666666666666,0.0013063945294843537,0.15017777777777777,0.004856864812043788,0.05608888888888889,0.0011991766722872952,0.508711111111111,0.0059869817618967165
32.0,0.0,0.9291999999999999,0.004390899680020016,0.9723315857769728,0.008623679384091523,0.9305403615995115,0.004339337333470085,0.9287553317269142,0.004543771574491603,0.5174,0.0,0.968654574277409,0.0034902422035060876,0.8920242236825152,0.006090092667489516,10000,1.5055735161762591e-05,2.739105476183707e-06,0.005683741658552854,0.001030931739989217,0.0009587821211928706,9.403301678677973e-05,0.0003093218930809106,1.3880443262259403e-05,0.00014093655733575958,1.6863931248605137e-05,0.002250168346508619,0.0005433827648666287,0.0008486270235457319,2.5402814201545406e-05,1.5055735161762591e-05,2.739105476183707e-06,0.0026815230059675428,0.0004092463963805257,0.36219835943224293,0.028127510387323057,0.0012146206231720758,0.00019934659848524242,6.596660508269754e-05,8.020765485246116e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,8.44504794738954e-05,5.803019280688521e-06,0.8625841834739908,0.02435128002508949,0.6472606532449148,0.036844124679385276,0.005116094474543796,0.0010644045150602665,active_base5000,0.8481423677496945,0.011166946386790366,binary_entropy,0.48303333333333337,0.00611137373173078,0.1079,0.006223075338340892,0.18776666666666667,0.004340762861781585,0.15833333333333335,0.004873283173476476,0.06296666666666667,0.0012119772641798587,0.5169666666666667,0.006111373731730782
32.0,0.0,0.9326,0.0028472208672083795,0.9728817186765862,0.007183912127875075,0.934053656339974,0.0027244986509359537,0.9319579600144842,0.0031336007319884875,0.5174,0.0,0.9753612373378688,0.0015449706095586675,0.8922819224326762,0.00640888035843107,12500,1.1934031073374142e-05,4.5823428992236704e-07,0.00608431662730174,0.0007194539436380627,0.0009601231669542073,9.877358941559676e-05,0.0002829938425468136,5.382629446437316e-06,0.0001309790270458674,1.1370986295219027e-05,0.0031218810049088255,0.0010767643413132253,0.0008286043382878215,4.046729554384071e-05,1.1934031073374142e-05,4.5823428992236704e-07,0.0025683964906755273,0.00030956312897624505,0.34892641282590703,0.014963421294591973,0.0012792803987123848,0.00013607935945494972,6.0429794151180736e-05,1.6677797314116025e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,7.67889688681532e-05,1.9392272468712983e-06,0.835234989523831,0.0321718642626701,0.6276380488252236,0.020975633931211556,0.005016296422878688,0.0008985745748463402,active_base5000,0.8752220336968812,0.010035579250555758,binary_entropy,0.48216,0.005658362542879931,0.09458666666666667,0.0031505061321776403,0.1896266666666667,0.0020030199422094892,0.16621333333333332,0.0029749771240950478,0.06741333333333334,0.001169083211561763,0.51784,0.00565836254287993
32.0,0.0,0.9322666666666667,0.00530994873379727,0.9692381595140311,0.0058681432453224595,0.9336618485116883,0.004962631935840508,0.9316838970124746,0.0061017337500349255,0.5174,0.0,0.9734711209352985,0.006280325182515713,0.8935704161834815,0.015540110700295059,15000,1.2109824673214261e-05,1.509290492769054e-06,0.005911834447380345,0.00021374426696784503,0.0010188592661625516,2.222246121687905e-05,0.0003311368810741345,1.493347361522271e-05,0.00016043901511945656,1.3608787882377662e-05,0.002186410954541584,0.00027372726077724634,0.0008367267136151534,5.2106245133233325e-05,1.2109824673214261e-05,1.509290492769054e-06,0.0028727610220047914,5.884896133465775e-05,0.36604859179159793,0.017477744023502606,0.0012673263444897128,3.588089120282496e-05,6.52380840620026e-05,3.6124375607245594e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,8.417198168684923e-05,8.928182113610457e-06,0.8501859259747794,0.003972373656347229,0.6429132751892369,0.031048818370610177,0.005143850770016334,0.0003017944111880424,active_base5000,0.8700827068993081,0.013306036542451759,binary_entropy,0.49222222222222217,0.004167718385784941,0.08642222222222222,0.002287701957623325,0.18964444444444442,0.003290540126026075,0.16377777777777777,0.0027661088237253633,0.06793333333333333,0.0013410885572990767,0.5077777777777778,0.004167718385784942
32.0,0.0,0.9113333333333333,0.006553031529164348,0.9699414111799287,0.005160058114327394,0.9128053371087855,0.0064244971163088345,0.9103618737185344,0.006958383835836713,0.5174,0.0,0.9540766178971228,0.003172804007380512,0.8705063780440665,0.010124314537076748,10000,2.3059241160897456e-05,2.693296205949505e-06,0.003020309475822772,0.00020797034828444214,0.0008426568734116189,3.2157836204779096e-05,0.0003286126274555513,2.6428111751427104e-05,0.00013724661004875177,1.2586784108021742e-05,0.001779255590390676,0.000169886362570802,0.0008478964165323484,1.2934743820456124e-05,2.3059241160897456e-05,2.693296205949505e-06,0.0013840503491611873,8.458070169837381e-05,0.3846049423505782,0.017713663664919787,0.0007371298941037673,3.119712723616642e-05,7.46655756150479e-05,2.2601860241742432e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010861257737128953,1.1341225722199834e-05,0.9426099782761552,0.008540417592747231,0.6945387154379964,0.03999502894684876,0.0020353659472344544,0.0002184951914757927,active_base10000,0.8529756656390264,0.008390146672394922,binary_uncertainty,0.48133333333333334,0.004034297405441926,0.17703333333333335,0.0036917325050562456,0.18983333333333333,0.0034682688605252136,0.11599999999999999,0.0027604347483684557,0.0358,0.0008524474568362946,0.5186666666666667,0.00403429740544195
32.0,0.0,0.9194,0.005413563213509848,0.9721259767762485,0.00775790242266911,0.921009539392586,0.005509201229763746,0.9182522105653911,0.005290677995065188,0.5174,0.0,0.9663230071575243,0.008582899971776898,0.874758407421724,0.0034717674488616013,12500,1.876987901322373e-05,2.7013922291843256e-06,0.0038334568015873974,0.0001197261803494611,0.0008567243990418218,5.0581695783359485e-05,0.0003210942890831739,2.3521867947457223e-05,0.00013834042008066712,3.267091178805063e-05,0.0020079006274579254,0.0005538028384814774,0.0008443696463402802,1.5662584120019714e-05,1.876987901322373e-05,2.7013922291843256e-06,0.0017370421062286887,0.00018774183578995602,0.3684190588841511,0.02263554379706087,0.0008778198797298252,3.105834920404752e-05,6.460050281020813e-05,3.5251361553736617e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.721158950903168e-05,7.427930900236992e-06,0.9153663415286196,0.01237908591945938,0.6625897023481757,0.047427984999624626,0.0028020513041592293,0.00017518190147011714,active_base10000,0.8560365988174637,0.01896371085050848,binary_uncertainty,0.49304,0.00532706298066768,0.14282666666666666,0.002982139425908114,0.17890666666666666,0.0031034317922082446,0.13533333333333333,0.0030709535254633135,0.04989333333333334,0.0025752324598416793,0.50696,0.005327062980667699
32.0,0.0,0.9208000000000002,0.008589916569249472,0.9711227351438353,0.006372040266772994,0.9224135597173602,0.00816468867796907,0.9195207115382403,0.009883387333842432,0.5174,0.0,0.968085566628353,0.00926430777489639,0.8760469011725293,0.022206246860841314,15000,1.697155334187172e-05,3.351715744156567e-06,0.004850930810638869,0.00026244470960074836,0.0009250610468023787,9.470604589859486e-05,0.00034416186552168075,6.009435976625643e-05,0.0001618295122672806,2.559281423368408e-05,0.002214625369665934,8.421068190091005e-05,0.0008443991693174945,4.925642008197539e-05,1.697155334187172e-05,3.351715744156567e-06,0.0022502879666293023,0.00021654081211501457,0.37477735668267087,0.04071326826271324,0.0010697977381293577,6.88829960100283e-05,6.738135637836724e-05,7.1054875838103305e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.630455389002158e-05,1.5877413230328516e-05,0.8749851347591909,0.02930198282599585,0.6646130127509468,0.06693662131489661,0.004150884002038822,0.0004450501127600826,active_base10000,0.8571786104471443,0.012567778488727673,binary_uncertainty,0.4978666666666666,0.0073480660090988765,0.12284444444444444,0.0028054620446462315,0.1808,0.003459394080963809,0.14259999999999998,0.003597530016861882,0.055888888888888884,0.0020142700788666054,0.5021333333333332,0.007348066009098858
32.0,0.0,0.8927333333333333,0.0036012343562851815,0.9556196936738267,0.0022906464674668277,0.8937251902877795,0.0038381449260162883,0.8930290712370774,0.0029197163603404837,0.5174,0.0,0.9227960273776308,0.009952506069586005,0.8652235536657648,0.004599038344949068,3000,4.251022516136299e-05,6.6477239748385015e-06,0.004089720028516624,0.0008373453323669128,0.0010480656400549185,0.0001079337205573781,0.0004072357493319684,2.437252441348089e-05,0.00020984287382905234,2.8681308182403745e-05,0.0022136355830522803,0.00041089687080331217,0.0008574832280863026,1.9003126241929698e-05,4.251022516136299e-05,6.6477239748385015e-06,0.0019435415419357105,0.00037864733558206807,0.4721967338286979,0.026570926117499758,0.0009824910314249402,0.0001608898752260552,0.00010483173021687738,1.699667268318884e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00014629033358738011,1.0913321781536189e-05,0.899016570018444,0.033419284834599834,0.8292651680635889,0.023967985176204326,0.003198130717255393,0.0009633770806328653,active_base3000,0.8292456250098249,0.0020215736340281334,binary_uncertainty,0.4814444444444444,0.005717635702341609,0.17966666666666664,0.0019051586888313697,0.18355555555555556,0.0034029761846919,0.11855555555555557,0.007390350732584841,0.03677777777777778,0.003937787810370967,0.5185555555555555,0.005717635702341563
