# SOURCE: generated=2026-06-23T12:18:19+00:00
run_id,optimizer,strength_param,strength,twin_run_id,n_paired,median_delta_R_aero_minus_twin,win_rate_aero_closer,verified_clean_count
aero_preserve__aero_budget_trust_region__beta_0p04__eng_multitask_gate_strong_100k,aero_budget_trust_region,beta,0.04,model_a_eng_multitask_gate_strong_featgrad_detached__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k,58,-0.092881733,0.74137931,72
aero_preserve__aero_budget_trust_region__beta_0p25__eng_multitask_gate_strong_100k,aero_budget_trust_region,beta,0.25,model_a_eng_multitask_gate_strong_featgrad_detached__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k,58,-0.1104358,0.81034483,73
aero_preserve__aero_budget_trust_region__beta_1__eng_multitask_gate_strong_100k,aero_budget_trust_region,beta,1.0,model_a_eng_multitask_gate_strong_featgrad_detached__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k,58,-0.1104358,0.81034483,73
aero_preserve__aero_budget_trust_region__beta_4__eng_multitask_gate_strong_100k,aero_budget_trust_region,beta,4.0,model_a_eng_multitask_gate_strong_featgrad_detached__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k,58,-0.1104358,0.81034483,73
aero_preserve__aero_budget_trust_region__beta_inf__eng_multitask_gate_strong_100k,aero_budget_trust_region,beta,1e+99,model_a_eng_multitask_gate_strong_featgrad_detached__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k,58,-0.1104358,0.81034483,73
aero_preserve__aero_penalized_receding__lambda_0__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,0.0,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_penalty__eng_multitask_gate_strong_100k,83,0,0.22891566,92
aero_preserve__aero_penalized_receding__lambda_0p1__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,0.1,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_penalty__eng_multitask_gate_strong_100k,83,0,0.36144578,92
aero_preserve__aero_penalized_receding__lambda_100__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,100.0,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_penalty__eng_multitask_gate_strong_100k,42,-0.12280822,0.78571429,47
aero_preserve__aero_penalized_receding__lambda_10__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,10.0,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_penalty__eng_multitask_gate_strong_100k,70,-0.081994959,0.67142857,76
aero_preserve__aero_penalized_receding__lambda_1__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,1.0,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_penalty__eng_multitask_gate_strong_100k,79,-0.021100877,0.5443038,87
aero_preserve__aero_tangent_receding__alpha_0__eng_multitask_gate_strong_100k,aero_tangent_receding,alpha,0.0,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_gradient__eng_multitask_gate_strong_100k,83,0,0.048192771,92
aero_preserve__aero_tangent_receding__alpha_0p5__eng_multitask_gate_strong_100k,aero_tangent_receding,alpha,0.5,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_gradient__eng_multitask_gate_strong_100k,81,-0.073373156,0.74074074,91
aero_preserve__aero_tangent_receding__alpha_0p99__eng_multitask_gate_strong_100k,aero_tangent_receding,alpha,0.99,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_gradient__eng_multitask_gate_strong_100k,79,-0.11843449,0.64556962,88
aero_preserve__aero_tangent_receding__alpha_0p9__eng_multitask_gate_strong_100k,aero_tangent_receding,alpha,0.9,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_gradient__eng_multitask_gate_strong_100k,82,-0.2223039,0.68292683,92
