# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,reg,1.0,,81,16,100,81,0.28232487149865737,0.6054375259236494,5.0
a,eng_multitask_gate_strong_100k,reg,0.5,,86,11,100,86,0.2831576178061111,0.6059377302124621,4.976744186046512
a,eng_multitask_gate_strong_100k,reg,0.1,,94,3,100,94,0.315353708368603,0.6756539382992577,5.0
a,eng_multitask_gate_strong_100k,reg,0.01,,95,2,100,95,0.40650114204339444,0.8778978536437143,5.0
b,eng_log_huber_100k,reg,1.0,,75,15,100,75,0.22350187749734804,0.4723745784290303,5.0
b,eng_log_huber_100k,reg,0.5,,85,5,100,85,0.2274663366777099,0.4811744666524615,4.976470588235294
b,eng_log_huber_100k,reg,0.1,,89,1,100,89,0.2911799845009855,0.6241289303521209,5.0
b,eng_log_huber_100k,reg,0.01,,90,0,100,90,0.36780399761774457,0.7915648311083678,5.0
c,eng_multitask_gate_strong_100k,reg,1.0,,86,14,100,86,0.23318477922267045,0.48859895846036744,5.0
c,eng_multitask_gate_strong_100k,reg,0.5,,91,9,100,91,0.2416293336513434,0.5069466298355453,4.967032967032967
c,eng_multitask_gate_strong_100k,reg,0.1,,97,3,100,97,0.26731362965743444,0.5596559234629456,5.0
c,eng_multitask_gate_strong_100k,reg,0.01,,99,1,100,99,0.35400526911460634,0.7441370469217967,5.0
d,eng_log_huber_100k,reg,1.0,,80,14,100,80,0.20243803093331603,0.4159466950114267,5.0
d,eng_log_huber_100k,reg,0.5,,87,7,100,87,0.20174021730468245,0.4156464179342147,4.988505747126437
d,eng_log_huber_100k,reg,0.1,,91,2,100,91,0.26069584342997365,0.539574049113714,5.0
d,eng_log_huber_100k,reg,0.01,,92,1,100,92,0.3438130955766871,0.7152480949311829,5.0
e,raw_log_huber_100k,reg,1.0,,83,17,100,83,0.22648821702856334,0.47387057724169884,5.0
e,raw_log_huber_100k,reg,0.5,,88,12,100,88,0.22380878630872036,0.4685795594209345,5.0
e,raw_log_huber_100k,reg,0.1,,99,1,100,99,0.2843148108349981,0.5976840357775792,5.0
e,raw_log_huber_100k,reg,0.01,,99,1,100,99,0.3847052190231828,0.8085514812043652,5.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.5,81,16,100,81,0.28232487149865737,0.6054375259236494,5.0
f,eng_multitask_gate_strong_100k,binary_and,0.5,0.5,86,11,100,86,0.2831576178061111,0.6059377302124621,4.976744186046512
f,eng_multitask_gate_strong_100k,binary_and,0.1,0.5,94,3,100,94,0.315353708368603,0.6756539382992577,5.0
f,eng_multitask_gate_strong_100k,binary_and,0.01,0.5,95,2,100,95,0.40650114204339444,0.8778978536437143,5.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.4,81,16,100,81,0.28232487149865737,0.6054375259236494,5.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.3,81,16,100,81,0.2837994726430644,0.6086788535320548,5.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.2,87,10,100,87,0.27948941903939245,0.599030688379579,5.0
