# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,reg,1.0,,92,8,100,92,0.4005805296972042,0.9093062853069823,5.630434782608695
a,eng_multitask_gate_strong_100k,reg,0.5,,94,6,100,94,0.3967460034082669,0.9056931106106973,5.76595744680851
a,eng_multitask_gate_strong_100k,reg,0.1,,98,2,100,98,0.39660228076135784,0.9104522532285144,5.877551020408164
a,eng_multitask_gate_strong_100k,reg,0.01,,99,0,100,99,0.4087387772606678,0.9580032834092891,6.1313131313131315
b,eng_log_huber_100k,reg,1.0,,89,6,100,89,0.4256459706195821,0.9937518984025837,5.842696629213483
b,eng_log_huber_100k,reg,0.5,,92,3,100,92,0.41835577115114964,0.9789437161200378,5.826086956521739
b,eng_log_huber_100k,reg,0.1,,94,1,100,94,0.4324213357974072,1.0440946917455982,6.202127659574468
b,eng_log_huber_100k,reg,0.01,,95,0,100,95,0.4506648685325968,1.1070011045893255,6.536842105263158
c,eng_multitask_gate_strong_100k,reg,1.0,,92,8,100,92,0.35892804755252966,0.7688067047128184,5.173913043478261
c,eng_multitask_gate_strong_100k,reg,0.5,,94,6,100,94,0.3544678526450097,0.7632392448666782,5.202127659574468
c,eng_multitask_gate_strong_100k,reg,0.1,,98,2,100,98,0.35123021810211885,0.7630975703404925,5.26530612244898
c,eng_multitask_gate_strong_100k,reg,0.01,,99,0,100,99,0.3619345356667647,0.7959456255745506,5.454545454545454
d,eng_log_huber_100k,reg,1.0,,91,7,100,91,0.3611368324940858,0.8069785830457119,5.428571428571429
d,eng_log_huber_100k,reg,0.5,,94,4,100,94,0.3585438450148232,0.802185139934208,5.468085106382978
d,eng_log_huber_100k,reg,0.1,,97,1,100,97,0.3720603043917198,0.8437112309640334,5.65979381443299
d,eng_log_huber_100k,reg,0.01,,98,0,100,98,0.3939809680860573,0.9310788910690145,6.142857142857143
e,raw_log_huber_100k,reg,1.0,,88,12,100,88,0.3400414635406295,0.7285085092655592,5.363636363636363
e,raw_log_huber_100k,reg,0.5,,92,8,100,92,0.34232373334499266,0.732448514108115,5.3478260869565215
e,raw_log_huber_100k,reg,0.1,,100,0,100,100,0.34632199637607736,0.7511826245253872,5.52
e,raw_log_huber_100k,reg,0.01,,100,0,100,100,0.3654049534917395,0.8107307147389313,5.87
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.5,92,8,100,92,0.4005805296972042,0.9093062853069823,5.630434782608695
f,eng_multitask_gate_strong_100k,binary_and,0.5,0.5,94,6,100,94,0.3967460034082669,0.9056931106106973,5.76595744680851
f,eng_multitask_gate_strong_100k,binary_and,0.1,0.5,98,2,100,98,0.39660228076135784,0.9104522532285144,5.877551020408164
f,eng_multitask_gate_strong_100k,binary_and,0.01,0.5,99,0,100,99,0.4087387772606678,0.9580032834092891,6.1313131313131315
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.4,92,8,100,92,0.4005805296972042,0.9093062853069823,5.630434782608695
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.3,93,7,100,93,0.39697430492793784,0.9010568704045215,5.623655913978495
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.2,94,6,100,94,0.3930041586159871,0.8920209161763484,5.617021276595745
