# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,reg,1.0,,92,8,100,92,0.3765020146422265,0.860869742387915,6.076086956521739
a,eng_multitask_gate_strong_100k,reg,0.5,,94,6,100,94,0.37302514093885725,0.8580911650587721,6.223404255319149
a,eng_multitask_gate_strong_100k,reg,0.1,,98,2,100,98,0.3714173225336059,0.8587382249991048,6.326530612244898
a,eng_multitask_gate_strong_100k,reg,0.01,,99,0,100,99,0.3799913516251821,0.8979548980327169,6.595959595959596
b,eng_log_huber_100k,reg,1.0,,89,6,100,89,0.4026728923845766,0.9602333069738034,6.775280898876405
b,eng_log_huber_100k,reg,0.5,,92,3,100,92,0.3961318150325031,0.9465181222378483,6.728260869565218
b,eng_log_huber_100k,reg,0.1,,94,1,100,94,0.4078888704958651,1.0048516670578627,7.117021276595745
b,eng_log_huber_100k,reg,0.01,,95,0,100,95,0.41890345418076697,1.0495054035366127,7.484210526315789
c,eng_multitask_gate_strong_100k,reg,1.0,,92,8,100,92,0.32343964621647,0.6999105980113726,5.358695652173913
c,eng_multitask_gate_strong_100k,reg,0.5,,94,6,100,94,0.3188625410962912,0.693260153685454,5.404255319148936
c,eng_multitask_gate_strong_100k,reg,0.1,,98,2,100,98,0.31685246455858435,0.6952005447307186,5.459183673469388
c,eng_multitask_gate_strong_100k,reg,0.01,,99,0,100,99,0.3247838136517933,0.7207852363225123,5.666666666666667
d,eng_log_huber_100k,reg,1.0,,91,7,100,91,0.32601809924072583,0.7456368551054375,6.1208791208791204
d,eng_log_huber_100k,reg,0.5,,94,4,100,94,0.32366447517525637,0.7425321858616216,6.202127659574468
d,eng_log_huber_100k,reg,0.1,,97,1,100,97,0.33784624026725624,0.7844432099962161,6.371134020618556
d,eng_log_huber_100k,reg,0.01,,98,0,100,98,0.34452892492706316,0.8221713081698852,6.846938775510204
e,raw_log_huber_100k,reg,1.0,,87,13,100,87,0.29925454228550763,0.6607310338997351,6.275862068965517
e,raw_log_huber_100k,reg,0.5,,91,9,100,91,0.30309499713253163,0.6671385939191498,6.21978021978022
e,raw_log_huber_100k,reg,0.1,,99,1,100,99,0.3073388642780729,0.6859850448816921,6.393939393939394
e,raw_log_huber_100k,reg,0.01,,99,1,100,99,0.31935483033410605,0.7218872826527436,6.686868686868687
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.5,92,8,100,92,0.3765020146422265,0.860869742387915,6.076086956521739
f,eng_multitask_gate_strong_100k,binary_and,0.5,0.5,94,6,100,94,0.37302514093885725,0.8580911650587721,6.223404255319149
f,eng_multitask_gate_strong_100k,binary_and,0.1,0.5,98,2,100,98,0.3714173225336059,0.8587382249991048,6.326530612244898
f,eng_multitask_gate_strong_100k,binary_and,0.01,0.5,99,0,100,99,0.3799913516251821,0.8979548980327169,6.595959595959596
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.4,92,8,100,92,0.3765020146422265,0.860869742387915,6.076086956521739
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.3,93,7,100,93,0.3729983794212227,0.8529430759756943,6.086021505376344
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.2,94,6,100,94,0.36928329614657746,0.8444189706244236,6.074468085106383
