# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,reg,1.0,,62,27,100,62,0.17676086878862576,0.17676086878862576,1.0
a,eng_multitask_gate_strong_100k,reg,0.5,,68,21,100,68,0.17691402552813187,0.17691402552813187,1.0
a,eng_multitask_gate_strong_100k,reg,0.1,,79,10,100,79,0.18643532341795516,0.18643532341795516,1.0
a,eng_multitask_gate_strong_100k,reg,0.01,,85,4,100,85,0.23037450763251038,0.23037450763251038,1.0
b,eng_log_huber_100k,reg,1.0,,63,27,100,63,0.179901105661903,0.179901105661903,1.0
b,eng_log_huber_100k,reg,0.5,,71,18,100,71,0.18176205798401904,0.18176205798401904,1.0
b,eng_log_huber_100k,reg,0.1,,84,5,100,84,0.21708153597356256,0.21708153597356256,1.0
b,eng_log_huber_100k,reg,0.01,,88,1,100,88,0.2635502201761607,0.2635502201761607,1.0
c,eng_multitask_gate_strong_100k,reg,1.0,,62,27,100,62,0.17676086878862576,0.17676086878862576,1.0
c,eng_multitask_gate_strong_100k,reg,0.5,,68,21,100,68,0.17691402552813187,0.17691402552813187,1.0
c,eng_multitask_gate_strong_100k,reg,0.1,,79,10,100,79,0.18643532341795516,0.18643532341795516,1.0
c,eng_multitask_gate_strong_100k,reg,0.01,,85,4,100,85,0.23037450763251038,0.23037450763251038,1.0
d,eng_log_huber_100k,reg,1.0,,63,27,100,63,0.179901105661903,0.179901105661903,1.0
d,eng_log_huber_100k,reg,0.5,,71,18,100,71,0.18176205798401904,0.18176205798401904,1.0
d,eng_log_huber_100k,reg,0.1,,84,5,100,84,0.21708153597356256,0.21708153597356256,1.0
d,eng_log_huber_100k,reg,0.01,,88,1,100,88,0.2635502201761607,0.2635502201761607,1.0
e,raw_log_huber_100k,reg,1.0,,53,35,100,53,0.17754140287093337,0.17754140287093337,1.0
e,raw_log_huber_100k,reg,0.5,,66,22,100,66,0.17330789623812884,0.17330789623812884,1.0
e,raw_log_huber_100k,reg,0.1,,82,6,100,82,0.2029301695342535,0.2029301695342535,1.0
e,raw_log_huber_100k,reg,0.01,,84,4,100,84,0.21405342860658477,0.21405342860658477,1.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.5,62,27,100,62,0.17676086878862576,0.17676086878862576,1.0
f,eng_multitask_gate_strong_100k,binary_and,0.5,0.5,68,21,100,68,0.17691402552813187,0.17691402552813187,1.0
f,eng_multitask_gate_strong_100k,binary_and,0.1,0.5,79,10,100,79,0.18643532341795516,0.18643532341795516,1.0
f,eng_multitask_gate_strong_100k,binary_and,0.01,0.5,85,4,100,85,0.23037450763251038,0.23037450763251038,1.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.4,62,27,100,62,0.17676086878862576,0.17676086878862576,1.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.3,63,26,100,63,0.1774983357684159,0.1774983357684159,1.0
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.2,70,19,100,70,0.17246721758470832,0.17246721758470832,1.0
