# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,reg,1.0,,80,15,100,80,0.18266990584666712,0.4661948823654221,9.2875
a,eng_multitask_gate_strong_100k,reg,0.5,,86,9,100,86,0.18521041005357922,0.47850986348756525,9.476744186046512
a,eng_multitask_gate_strong_100k,reg,0.1,,92,3,100,92,0.20244709266196043,0.5136310132141523,9.478260869565217
a,eng_multitask_gate_strong_100k,reg,0.01,,93,2,100,93,0.22890514686824173,0.5615514510208341,9.193548387096774
b,eng_log_huber_100k,reg,1.0,,77,15,100,77,0.16900263331704266,0.4128581823527644,9.233766233766234
b,eng_log_huber_100k,reg,0.5,,86,6,100,86,0.17041093590507098,0.42366458786578925,9.244186046511627
b,eng_log_huber_100k,reg,0.1,,89,2,100,89,0.2195410322299003,0.5509399994547864,9.280898876404494
b,eng_log_huber_100k,reg,0.01,,91,0,100,91,0.253457830851207,0.6315770521106626,9.175824175824175
c,eng_multitask_gate_strong_100k,reg,1.0,,81,16,100,81,0.15043906771516158,0.40196267835730887,9.753086419753087
c,eng_multitask_gate_strong_100k,reg,0.5,,87,10,100,87,0.1544759294538938,0.41235076038822055,9.816091954022989
c,eng_multitask_gate_strong_100k,reg,0.1,,96,1,100,96,0.1742129907141237,0.45830391557116584,9.822916666666666
c,eng_multitask_gate_strong_100k,reg,0.01,,95,2,100,95,0.20782057448658128,0.5457708786739587,9.821052631578947
d,eng_log_huber_100k,reg,1.0,,79,17,100,79,0.15155758065843697,0.3826466086166802,9.582278481012658
d,eng_log_huber_100k,reg,0.5,,92,3,100,92,0.1560564700823693,0.4015136979264345,9.51086956521739
d,eng_log_huber_100k,reg,0.1,,94,1,100,94,0.19476161207689338,0.5033562692330042,9.787234042553191
d,eng_log_huber_100k,reg,0.01,,95,0,100,95,0.23806144325013706,0.6095432080851376,9.715789473684211
e,raw_log_huber_100k,reg,1.0,,73,24,100,73,0.15543643588764378,0.41726830313655755,9.698630136986301
e,raw_log_huber_100k,reg,0.5,,84,13,100,84,0.1537943352920441,0.4107864928011348,9.845238095238095
e,raw_log_huber_100k,reg,0.1,,96,1,100,96,0.1857050009400553,0.4869829055199797,9.927083333333334
e,raw_log_huber_100k,reg,0.01,,96,0,100,96,0.21204181835727157,0.5328528520539563,9.333333333333334
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.5,80,15,100,80,0.18266990584666712,0.4661948823654221,9.2875
f,eng_multitask_gate_strong_100k,binary_and,0.5,0.5,86,9,100,86,0.18521041005357922,0.47850986348756525,9.476744186046512
f,eng_multitask_gate_strong_100k,binary_and,0.1,0.5,92,3,100,92,0.20244709266196043,0.5136310132141523,9.478260869565217
f,eng_multitask_gate_strong_100k,binary_and,0.01,0.5,93,2,100,93,0.22890514686824173,0.5615514510208341,9.193548387096774
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.4,81,14,100,81,0.18286887827317125,0.4671985209841655,9.296296296296296
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.3,81,14,100,81,0.18346724895413383,0.4692109639308606,9.320987654320987
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.2,88,7,100,88,0.17994755936650414,0.460892373137038,9.420454545454545
