# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,reg,1.0,,76,19,100,76,0.14321956535541905,0.32466895059563533,7.5131578947368425
a,eng_multitask_gate_strong_100k,reg,0.5,,81,14,100,81,0.1546350617238148,0.35766057639727755,7.6419753086419755
a,eng_multitask_gate_strong_100k,reg,0.1,,89,6,100,89,0.1707587092803395,0.40575312223284393,7.955056179775281
a,eng_multitask_gate_strong_100k,reg,0.01,,92,3,100,92,0.19986757663905982,0.45600765904720963,7.717391304347826
b,eng_log_huber_100k,reg,1.0,,70,22,100,70,0.14342892089451245,0.30286036095969576,6.957142857142857
b,eng_log_huber_100k,reg,0.5,,80,12,100,80,0.14469326304564228,0.3194582133018647,7.425
b,eng_log_huber_100k,reg,0.1,,91,1,100,91,0.18822627582592283,0.42404956157129864,7.450549450549451
b,eng_log_huber_100k,reg,0.01,,92,0,100,92,0.21873447213198557,0.4967325156411711,7.467391304347826
c,eng_multitask_gate_strong_100k,reg,1.0,,68,29,100,68,0.11436713911723051,0.2820259961471025,8.073529411764707
c,eng_multitask_gate_strong_100k,reg,0.5,,78,19,100,78,0.12325933133794872,0.2952585765477856,7.782051282051282
c,eng_multitask_gate_strong_100k,reg,0.1,,90,7,100,90,0.14698409708830615,0.35428193261813035,7.966666666666667
c,eng_multitask_gate_strong_100k,reg,0.01,,95,2,100,95,0.17765531639439347,0.4308727902074499,8.094736842105263
d,eng_log_huber_100k,reg,1.0,,70,26,100,70,0.1223810979169175,0.28460699500279435,7.857142857142857
d,eng_log_huber_100k,reg,0.5,,83,12,100,83,0.12937463909094774,0.30186431763129307,7.590361445783133
d,eng_log_huber_100k,reg,0.1,,94,1,100,94,0.1655524949096623,0.3922920561858111,7.787234042553192
d,eng_log_huber_100k,reg,0.01,,95,0,100,95,0.20481924462986723,0.4899068895555967,7.71578947368421
e,raw_log_huber_100k,reg,1.0,,64,33,100,64,0.12444912717246648,0.2988752374464294,7.953125
e,raw_log_huber_100k,reg,0.5,,80,17,100,80,0.13071304143216428,0.3167288143878603,7.9
e,raw_log_huber_100k,reg,0.1,,96,1,100,96,0.15297334631347792,0.3731565906449393,7.927083333333333
e,raw_log_huber_100k,reg,0.01,,95,1,100,95,0.17657849561462657,0.41411621782519153,7.526315789473684
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.5,76,19,100,76,0.14291639358433783,0.32335876915740613,7.565789473684211
f,eng_multitask_gate_strong_100k,binary_and,0.5,0.5,81,14,100,81,0.15408044014516808,0.3525860303862896,7.54320987654321
f,eng_multitask_gate_strong_100k,binary_and,0.1,0.5,89,6,100,89,0.1707587092803395,0.40575312223284393,7.955056179775281
f,eng_multitask_gate_strong_100k,binary_and,0.01,0.5,92,3,100,92,0.19986757663905982,0.45600765904720963,7.717391304347826
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.4,76,19,100,76,0.14297788501260125,0.32354895142308593,7.578947368421052
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.3,76,19,100,76,0.14468613147931,0.3270935617151532,7.618421052631579
f,eng_multitask_gate_strong_100k,binary_and,1.0,0.2,82,13,100,82,0.1471666470715295,0.33684393453946454,7.658536585365853
