# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
optimizer,pair,d_verified_ok,d_mean_l2,d_mean_l0,from_verified_ok,to_verified_ok
one_shot_gradient_line_search,a->c,5,-0.049140092275986924,0.0,81,86
one_shot_gradient_line_search,b->d,5,-0.021063846564032013,0.0,75,80
receding_multistep_gradient,a->c,0,-0.04165248214467454,-0.4565217391304346,92,92
receding_multistep_gradient,b->d,2,-0.0645091381254963,-0.4141252006420544,89,91
receding_multistep_penalty,a->c,0,-0.05306236842575651,-0.7173913043478262,92,92
receding_multistep_penalty,b->d,2,-0.07665479314385076,-0.6544017779972844,89,91
full_coordinate_grid_refine,a->c,0,0.0,0.0,62,62
full_coordinate_grid_refine,b->d,0,0.0,0.0,63,63
trust_region_hybrid,a->c,1,-0.03223083813150554,0.46558641975308745,80,81
trust_region_hybrid,b->d,2,-0.017445052658605686,0.3485122472464237,77,79
trust_region_hybrid_shrinkage,a->c,-8,-0.02885242623818854,0.560371517027864,76,68
trust_region_hybrid_shrinkage,b->d,0,-0.021047822977594957,0.8999999999999995,70,70
all,a->c,-1,-0.028214723036235734,-0.1986959505833905,94,93
all,b->d,1,-0.012483878061606862,-0.0924297924297921,90,91
