# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,n_success,baseline_mean_L_over_D,final_mean_L_over_D,mean_delta_L_over_D,median_delta_L_over_D,mean_rel_delta_L_over_D,mean_delta_CD0,median_delta_CD0,mean_delta_CD,final_vlm_ok_rate,mean_delta_weight,note
a,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,81,524.3802367870021,18.760240692562462,-505.61999609443933,0.05992895913946761,1.2005122753005217,0.0009809130631676134,-8.187428746244882e-05,-692.1011801230372,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
a,eng_multitask_gate_strong_100k,receding_multistep_gradient,92,463.21618223827903,15.382981867798076,-447.833200370481,0.19198849689500008,0.8710360450974618,0.00042571116377235224,-0.0002067147969129976,-604.0211919318799,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
a,eng_multitask_gate_strong_100k,receding_multistep_penalty,92,463.21618223827903,16.03910178206632,-447.17708045621276,0.27777139774285065,0.9064559931603431,0.0004350892971022393,-0.00017565174985550817,-604.0228873090649,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
a,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,0.05986692067717563,-6.406424549325363e-05,0.0,-0.023003863731443787,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
a,eng_multitask_gate_strong_100k,trust_region_hybrid,80,530.912995245259,35.37962610022048,-495.53336914503836,0.06110725497892222,5.158327870953075,0.00019767291197946615,-2.685152514792649e-05,-404.153567348827,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
a,eng_multitask_gate_strong_100k,trust_region_hybrid_shrinkage,76,557.2753800747121,15.862983622288258,-541.4123964524239,0.03423380290190803,2.019240745301512,0.00017774526804160908,-5.7600830486687765e-05,-425.4220544424009,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
a,eng_multitask_gate_strong_100k,all,94,454.17752460623007,14.885937417153235,-439.29158718907644,0.008253682916469884,2.27905030526006,0.0003514921062211845,0.0,-940.3204879252316,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,one_shot_gradient_line_search,75,10.528276268214139,15.60655494171023,5.078278673496092,0.05388115731194887,0.19798125057368576,-0.00028324955794748266,-0.0002110218711049057,0.03964845824166545,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,receding_multistep_gradient,89,478.4601508629044,15.195982490939457,-463.264168371965,0.21105265784486704,0.8583735541807545,-0.00042461188825369833,-0.000387428761698172,-629.8607253352691,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,receding_multistep_penalty,89,478.4601508629044,15.160558394918132,-463.29959246798626,0.15977127518807244,0.8540848584611823,-0.0002156077942205608,-0.00033182872052679724,-629.8608872445564,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,full_coordinate_grid_refine,63,679.4390148439327,14.366430735146299,-665.072584108786,-0.023830505420502135,0.03856620642624411,-4.593752029336612e-05,0.0,-0.01655461122400701,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,trust_region_hybrid,77,550.370298487815,207.8269545796983,-342.5433439081164,0.04850747939530642,19.208106761655813,1.674097736201422e-05,-3.056679837582649e-05,1.300998136720483,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,trust_region_hybrid_shrinkage,70,603.2344267931219,227.4975469689239,-375.73687982419773,0.059073092849796005,21.181803642372717,3.471140865789846e-05,-7.933448634932748e-05,1.3988447989389001,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
b,eng_log_huber_100k,all,90,473.428131485975,14.555184400338762,-458.87294708563576,0.02051708795483087,0.7382676948934483,3.1832470154850007e-06,0.0,-622.8854063611699,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
c,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,86,495.1219155380347,15.633967663853559,-479.4879478741809,0.16151274034783203,0.8931888574324354,-0.0005939031395691878,-0.0003501665098110951,-651.8677513430947,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
c,eng_multitask_gate_strong_100k,receding_multistep_gradient,92,463.4224937713065,45.679519169469664,-417.7429746018366,0.3375757215089008,11.187576789782792,-0.0011371854395682093,-0.0007972401298018128,-609.3549613447833,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
c,eng_multitask_gate_strong_100k,receding_multistep_penalty,92,463.4224937713065,45.73018169335392,-417.69231207795224,0.3172399147182112,11.195604324658381,-0.0010311985663088471,-0.0007258519647284772,-609.3550207336154,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
c,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,0.05986692067717563,-6.406424549325363e-05,0.0,-0.023003863731443787,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
